Pattern, Confidence-Frequence-Frequence %
[[[['Piena_T0_0,QuasiPiena_T0_2'], ['Piena_T1_3,QuasiPiena_T1_0'], ['QuasiPiena_T2_2']]], [1.0-8-0.01%]]
[[[['Piena_T0_0,QuasiPiena_T0_2'], ['Piena_T1_3,Piena_T1_0'], ['QuasiPiena_T3_3']]], [1.0-8-0.01%]]
[[[['Piena_T0_0,QuasiPiena_T0_2'], ['Piena_T1_3,Piena_T1_0'], ['QuasiPiena_T2_2']]], [1.0-8-0.01%]]
[[[['Piena_T0_0,QuasiPiena_T0_2'], ['Piena_T1_2,Piena_T1_1'], ['QuasiPiena_T3_3']]], [1.0-8-0.01%]]
[[[['Piena_T0_0,QuasiPiena_T0_2'], ['Piena_T2_3,Piena_T2_2'], ['QuasiPiena_T3_3']]], [1.0-8-0.01%]]
[[[['Piena_T0_0,QuasiPiena_T0_3'], ['QuasiPiena_T1_2,Piena_T1_1'], ['QuasiPiena_T3_3']]], [1.0-8-0.01%]]
[[[['Piena_T0_0,QuasiPiena_T0_3'], ['QuasiPiena_T1_1,Piena_T1_2'], ['QuasiPiena_T3_3']]], [1.0-8-0.01%]]
[[[['Piena_T0_0,QuasiPiena_T0_3'], ['Piena_T1_2,Piena_T1_1'], ['QuasiPiena_T3_3']]], [1.0-8-0.01%]]
[[[['Piena_T0_0,QuasiPiena_T0_3'], ['Piena_T1_0,Piena_T1_1'], ['QuasiPiena_T3_3']]], [1.0-8-0.01%]]
[[[['Piena_T0_0,QuasiPiena_T0_3'], ['Piena_T1_0,Piena_T1_1'], ['QuasiPiena_T2_1']]], [1.0-8-0.01%]]
[[[['Piena_T0_0,QuasiPiena_T0_3'], ['Piena_T1_1,QuasiPiena_T1_0'], ['QuasiPiena_T3_3']]], [1.0-8-0.01%]]
[[[['Piena_T0_0,QuasiPiena_T0_3'], ['Piena_T1_1,QuasiPiena_T1_0'], ['QuasiPiena_T2_1']]], [1.0-8-0.01%]]
[[[['Piena_T0_0'], ['QuasiPiena_T1_3,Piena_T1_1,QuasiPiena_T1_0'], ['QuasiPiena_T3_3']]], [1.0-8-0.01%]]
[[[['Piena_T0_0'], ['QuasiPiena_T1_3,Piena_T1_1,QuasiPiena_T1_0'], ['QuasiPiena_T2_1']]], [1.0-8-0.01%]]
[[[['Piena_T0_0'], ['QuasiPiena_T1_3,Piena_T1_1'], ['QuasiPiena_T2_2'], ['QuasiPiena_T3_3']]], [1.0-8-0.01%]]
[[[['Piena_T0_0'], ['QuasiPiena_T1_3,Piena_T1_0,Piena_T1_1'], ['QuasiPiena_T3_3']]], [1.0-8-0.01%]]
[[[['Piena_T0_0'], ['QuasiPiena_T1_3,Piena_T1_0,Piena_T1_1'], ['QuasiPiena_T2_1']]], [1.0-8-0.01%]]
[[[['Piena_T0_0'], ['QuasiPiena_T1_3,Piena_T1_2,QuasiPiena_T1_0'], ['QuasiPiena_T3_3']]], [1.0-8-0.01%]]
[[[['Piena_T0_0'], ['QuasiPiena_T1_3,Piena_T1_2,Piena_T1_1'], ['QuasiPiena_T3_3']]], [1.0-8-0.01%]]
[[[['Piena_T0_0'], ['QuasiPiena_T1_3,Piena_T1_2,Piena_T1_0'], ['QuasiPiena_T3_3']]], [1.0-8-0.01%]]
[[[['Piena_T0_0'], ['QuasiPiena_T1_3,QuasiPiena_T1_1,Piena_T1_2'], ['QuasiPiena_T3_3']]], [1.0-8-0.01%]]
[[[['Piena_T0_0'], ['QuasiPiena_T1_3,QuasiPiena_T1_3'], ['Piena_T2_2'], ['QuasiPiena_T3_3']]], [1.0-8-0.01%]]
[[[['Piena_T0_0'], ['QuasiPiena_T1_3'], ['Piena_T2_3,Piena_T2_2'], ['QuasiPiena_T3_3']]], [1.0-8-0.01%]]
[[[['Piena_T0_0'], ['QuasiPiena_T1_2,Piena_T1_2'], ['Piena_T2_2'], ['QuasiPiena_T3_3']]], [1.0-8-0.01%]]
[[[['Piena_T0_0'], ['QuasiPiena_T1_2,Piena_T1_2'], ['Piena_T2_2'], ['QuasiPiena_T3_2']]], [1.0-8-0.01%]]
[[[['Piena_T0_0'], ['QuasiPiena_T1_2,Piena_T1_3,QuasiPiena_T1_0'], ['QuasiPiena_T2_2']]], [1.0-8-0.01%]]
[[[['Piena_T0_0'], ['QuasiPiena_T1_2,Piena_T1_3,Piena_T1_0'], ['QuasiPiena_T2_2']]], [1.0-8-0.01%]]
[[[['Piena_T0_0'], ['QuasiPiena_T1_2,Piena_T1_3'], ['QuasiPiena_T2_1'], ['QuasiPiena_T3_3']]], [1.0-8-0.01%]]
[[[['Piena_T0_0'], ['QuasiPiena_T1_2,QuasiPiena_T1_2,Piena_T1_1'], ['QuasiPiena_T3_3']]], [1.0-8-0.01%]]
[[[['Piena_T0_0'], ['QuasiPiena_T1_2'], ['QuasiPiena_T2_2,Piena_T2_3'], ['QuasiPiena_T3_3']]], [1.0-8-0.01%]]
[[[['Piena_T0_0'], ['QuasiPiena_T1_2'], ['Piena_T2_3,Piena_T2_2'], ['QuasiPiena_T3_3']]], [1.0-8-0.01%]]
[[[['Piena_T0_0'], ['Piena_T1_3'], ['QuasiPiena_T2_2,Piena_T2_3'], ['QuasiPiena_T3_3']]], [1.0-8-0.01%]]
[[[['Piena_T0_0'], ['Piena_T1_3'], ['QuasiPiena_T2_2,QuasiPiena_T2_1'], ['QuasiPiena_T3_3']]], [1.0-8-0.01%]]
[[[['Piena_T0_0'], ['Piena_T1_2'], ['QuasiPiena_T2_2,Piena_T2_2'], ['QuasiPiena_T3_3']]], [1.0-8-0.01%]]
[[[['Piena_T0_0'], ['Piena_T1_2'], ['QuasiPiena_T2_2,Piena_T2_2'], ['QuasiPiena_T3_2']]], [1.0-8-0.01%]]
[[[['Piena_T0_0'], ['Piena_T1_2'], ['QuasiPiena_T2_2,QuasiPiena_T2_2'], ['QuasiPiena_T3_2']]], [1.0-8-0.01%]]
[[[['Piena_T0_0'], ['Piena_T1_2'], ['Piena_T2_2'], ['QuasiPiena_T3_3,QuasiPiena_T3_2']]], [1.0-8-0.01%]]
[[[['QuasiPiena_T0_0'], ['QuasiPiena_T1_1,Piena_T1_1,QuasiPiena_T1_0'], ['QuasiPiena_T3_3']]], [1.0-8-0.01%]]
[[[['QuasiPiena_T0_0'], ['QuasiPiena_T1_1,Piena_T1_1,QuasiPiena_T1_0'], ['QuasiPiena_T2_1']]], [1.0-8-0.01%]]
[[[['QuasiPiena_T0_0'], ['QuasiPiena_T1_1,Piena_T1_0,Piena_T1_1'], ['QuasiPiena_T3_3']]], [1.0-8-0.01%]]
[[[['QuasiPiena_T0_0'], ['QuasiPiena_T1_1,Piena_T1_0,Piena_T1_1'], ['QuasiPiena_T2_1']]], [1.0-8-0.01%]]
[[[['QuasiPiena_T0_0'], ['QuasiPiena_T1_3,Piena_T1_1,QuasiPiena_T1_0'], ['QuasiPiena_T3_3']]], [1.0-8-0.01%]]
[[[['QuasiPiena_T0_0'], ['QuasiPiena_T1_3,Piena_T1_1,QuasiPiena_T1_0'], ['QuasiPiena_T2_1']]], [1.0-8-0.01%]]
[[[['QuasiPiena_T0_0'], ['QuasiPiena_T1_3,Piena_T1_1,Piena_T1_1'], ['QuasiPiena_T2_2']]], [1.0-8-0.01%]]
[[[['QuasiPiena_T0_0'], ['QuasiPiena_T1_3,Piena_T1_0,Piena_T1_1'], ['QuasiPiena_T3_3']]], [1.0-8-0.01%]]
[[[['QuasiPiena_T0_0'], ['QuasiPiena_T1_3,Piena_T1_0,Piena_T1_1'], ['QuasiPiena_T2_1']]], [1.0-8-0.01%]]
[[[['QuasiPiena_T0_0'], ['QuasiPiena_T1_3,Piena_T1_2'], ['Piena_T2_3'], ['QuasiPiena_T3_3']]], [1.0-8-0.01%]]
[[[['QuasiPiena_T0_0'], ['Piena_T1_2'], ['QuasiPiena_T2_2,Piena_T2_3'], ['QuasiPiena_T3_3']]], [1.0-8-0.01%]]
[[[['QuasiPiena_T0_0,Piena_T0_2'], ['QuasiPiena_T1_1,QuasiPiena_T1_0'], ['QuasiPiena_T3_3']]], [1.0-7-0.0%]]
[[[['QuasiPiena_T0_0,Piena_T0_2'], ['QuasiPiena_T1_1,Piena_T1_0'], ['QuasiPiena_T3_3']]], [1.0-7-0.0%]]
[[[['QuasiPiena_T0_0,Piena_T0_2'], ['Piena_T2_3,Piena_T2_2'], ['QuasiPiena_T3_3']]], [1.0-7-0.0%]]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_2'], ['QuasiPiena_T2_1,Piena_T2_2'], ['QuasiPiena_T3_3']]], [1.0-7-0.0%]]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_2'], ['QuasiPiena_T2_1,Piena_T2_2'], ['QuasiPiena_T3_1']]], [1.0-7-0.0%]]
[[[['QuasiPiena_T0_0'], ['Piena_T1_3,Piena_T1_2,QuasiPiena_T1_0'], ['QuasiPiena_T3_3']]], [1.0-7-0.0%]]
[[[['QuasiPiena_T0_0'], ['Piena_T1_3,Piena_T1_2,Piena_T1_0'], ['QuasiPiena_T3_3']]], [1.0-7-0.0%]]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_1'], ['Piena_T1_3,QuasiPiena_T1_0'], ['QuasiPiena_T2_2']]], [1.0-7-0.0%]]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_1'], ['Piena_T1_3,Piena_T1_0'], ['QuasiPiena_T2_2']]], [1.0-7-0.0%]]
[[[['QuasiPiena_T0_0'], ['QuasiPiena_T2_3,QuasiPiena_T2_2,Piena_T2_1'], ['QuasiPiena_T3_1']]], [1.0-7-0.0%]]
[[[['Piena_T0_0,Piena_T0_3'], ['QuasiPiena_T1_3,Piena_T1_2'], ['QuasiPiena_T3_3']]], [1.0-7-0.0%]]
[[[['Piena_T0_0,Piena_T0_3'], ['QuasiPiena_T1_3,Piena_T1_2'], ['QuasiPiena_T2_2']]], [1.0-7-0.0%]]
[[[['Piena_T0_0,Piena_T0_3'], ['QuasiPiena_T1_2,Piena_T1_2'], ['QuasiPiena_T3_3']]], [1.0-7-0.0%]]
[[[['Piena_T0_0,Piena_T0_3'], ['QuasiPiena_T1_2,Piena_T1_2'], ['QuasiPiena_T2_2']]], [1.0-7-0.0%]]
[[[['Piena_T0_0,Piena_T0_3'], ['QuasiPiena_T1_2,Piena_T1_3'], ['QuasiPiena_T2_3']]], [1.0-7-0.0%]]
[[[['Piena_T0_0,Piena_T0_3'], ['QuasiPiena_T1_2,Piena_T1_3'], ['QuasiPiena_T3_3']]], [1.0-7-0.0%]]
[[[['Piena_T0_0,Piena_T0_3'], ['QuasiPiena_T1_2,Piena_T1_3'], ['QuasiPiena_T2_2']]], [1.0-7-0.0%]]
[[[['Piena_T0_0,QuasiPiena_T0_3'], ['Piena_T1_3,Piena_T1_2'], ['QuasiPiena_T3_3']]], [1.0-7-0.0%]]
[[[['Piena_T0_0,QuasiPiena_T0_3'], ['Piena_T1_3,Piena_T1_2'], ['QuasiPiena_T2_2']]], [1.0-7-0.0%]]
[[[['QuasiPiena_T0_0,Piena_T0_1'], ['QuasiPiena_T1_2,Piena_T1_3'], ['QuasiPiena_T2_2']]], [1.0-7-0.0%]]
[[[['QuasiPiena_T0_0,Piena_T0_1'], ['QuasiPiena_T1_1,Piena_T1_3'], ['QuasiPiena_T2_2']]], [1.0-7-0.0%]]
[[[['QuasiPiena_T0_0,Piena_T0_1'], ['Piena_T1_3,Piena_T1_1'], ['QuasiPiena_T2_2']]], [1.0-7-0.0%]]
[[[['QuasiPiena_T0_0'], ['QuasiPiena_T1_3'], ['QuasiPiena_T2_2,Piena_T2_1'], ['QuasiPiena_T3_3']]], [1.0-7-0.0%]]
[[[['QuasiPiena_T0_0'], ['QuasiPiena_T1_3'], ['QuasiPiena_T2_2,Piena_T2_1'], ['QuasiPiena_T3_1']]], [1.0-7-0.0%]]
[[[['QuasiPiena_T0_0'], ['Piena_T1_2'], ['Piena_T2_3,Piena_T2_2'], ['QuasiPiena_T3_3']]], [1.0-7-0.0%]]
[[[['QuasiPiena_T0_0,Piena_T0_2'], ['Piena_T1_3,QuasiPiena_T1_0'], ['QuasiPiena_T3_3']]], [1.0-6-0.0%]]
[[[['QuasiPiena_T0_0,Piena_T0_2'], ['Piena_T1_3,Piena_T1_1'], ['QuasiPiena_T2_2']]], [1.0-6-0.0%]]
[[[['QuasiPiena_T0_0,Piena_T0_2'], ['Piena_T1_3,Piena_T1_0'], ['QuasiPiena_T3_3']]], [1.0-6-0.0%]]
[[[['QuasiPiena_T0_0,Piena_T0_2'], ['QuasiPiena_T2_1,Piena_T2_3'], ['QuasiPiena_T3_3']]], [1.0-6-0.0%]]
[[[['QuasiPiena_T0_0,Piena_T0_2'], ['Piena_T1_0,Piena_T1_1'], ['QuasiPiena_T3_3']]], [1.0-6-0.0%]]
[[[['QuasiPiena_T0_0,Piena_T0_2'], ['Piena_T1_0,Piena_T1_1'], ['QuasiPiena_T2_1']]], [1.0-6-0.0%]]
[[[['QuasiPiena_T0_0,Piena_T0_2'], ['Piena_T1_1,QuasiPiena_T1_0'], ['QuasiPiena_T3_3']]], [1.0-6-0.0%]]
[[[['QuasiPiena_T0_0,Piena_T0_2'], ['Piena_T1_1,QuasiPiena_T1_0'], ['QuasiPiena_T2_1']]], [1.0-6-0.0%]]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_2'], ['QuasiPiena_T2_3,Piena_T2_1'], ['QuasiPiena_T3_3']]], [1.0-6-0.0%]]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_2'], ['QuasiPiena_T2_2,Piena_T2_1'], ['QuasiPiena_T3_3']]], [1.0-6-0.0%]]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_2'], ['QuasiPiena_T2_2,Piena_T2_1'], ['QuasiPiena_T3_1']]], [1.0-6-0.0%]]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_2'], ['Piena_T1_0,Piena_T1_1'], ['QuasiPiena_T3_3']]], [1.0-6-0.0%]]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_2'], ['Piena_T1_0,Piena_T1_1'], ['QuasiPiena_T2_1']]], [1.0-6-0.0%]]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_2'], ['Piena_T1_1,QuasiPiena_T1_0'], ['QuasiPiena_T3_3']]], [1.0-6-0.0%]]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_2'], ['Piena_T1_1,QuasiPiena_T1_0'], ['QuasiPiena_T2_1']]], [1.0-6-0.0%]]
[[[['QuasiPiena_T0_0'], ['Piena_T1_3,QuasiPiena_T1_0'], ['QuasiPiena_T2_1'], ['QuasiPiena_T3_3']]], [1.0-6-0.0%]]
[[[['QuasiPiena_T0_0'], ['Piena_T1_3,Piena_T1_1,QuasiPiena_T1_0'], ['QuasiPiena_T3_3']]], [1.0-6-0.0%]]
[[[['QuasiPiena_T0_0'], ['Piena_T1_3,Piena_T1_1,QuasiPiena_T1_0'], ['QuasiPiena_T2_1']]], [1.0-6-0.0%]]
[[[['QuasiPiena_T0_0'], ['Piena_T1_3,Piena_T1_0,Piena_T1_1'], ['QuasiPiena_T3_3']]], [1.0-6-0.0%]]
[[[['QuasiPiena_T0_0'], ['Piena_T1_3,Piena_T1_0,Piena_T1_1'], ['QuasiPiena_T2_1']]], [1.0-6-0.0%]]
[[[['QuasiPiena_T0_0'], ['Piena_T1_3,Piena_T1_0'], ['QuasiPiena_T2_1'], ['QuasiPiena_T3_3']]], [1.0-6-0.0%]]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_1'], ['QuasiPiena_T2_2,Piena_T2_3'], ['QuasiPiena_T3_3']]], [1.0-6-0.0%]]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_1'], ['QuasiPiena_T2_2,Piena_T2_3'], ['QuasiPiena_T3_1']]], [1.0-6-0.0%]]
[[[['QuasiPiena_T0_0,Piena_T0_0'], ['Piena_T1_3,Piena_T1_1'], ['QuasiPiena_T3_3']]], [1.0-6-0.0%]]
[[[['QuasiPiena_T0_0,Piena_T0_0'], ['Piena_T1_3,Piena_T1_1'], ['QuasiPiena_T2_1']]], [1.0-6-0.0%]]
[[[['QuasiPiena_T0_0,Piena_T0_3'], ['Piena_T1_2,Piena_T1_1'], ['QuasiPiena_T2_2']]], [1.0-6-0.0%]]
[[[['QuasiPiena_T0_0,Piena_T0_3'], ['Piena_T1_1,Piena_T1_1'], ['QuasiPiena_T2_2']]], [1.0-6-0.0%]]
[[[['Piena_T0_0,Piena_T0_1'], ['QuasiPiena_T1_3,QuasiPiena_T1_0'], ['QuasiPiena_T3_3']]], [1.0-6-0.0%]]
[[[['Piena_T0_0,Piena_T0_1'], ['QuasiPiena_T1_3,QuasiPiena_T1_0'], ['QuasiPiena_T2_1']]], [1.0-6-0.0%]]
[[[['Piena_T0_0,Piena_T0_1'], ['QuasiPiena_T1_3,Piena_T1_0'], ['QuasiPiena_T3_3']]], [1.0-6-0.0%]]
[[[['Piena_T0_0,Piena_T0_1'], ['QuasiPiena_T1_3,Piena_T1_0'], ['QuasiPiena_T2_1']]], [1.0-6-0.0%]]
[[[['Piena_T0_0,Piena_T0_1'], ['QuasiPiena_T1_2,QuasiPiena_T1_0'], ['QuasiPiena_T3_3']]], [1.0-6-0.0%]]
[[[['Piena_T0_0,Piena_T0_1'], ['QuasiPiena_T1_2,QuasiPiena_T1_0'], ['QuasiPiena_T2_1']]], [1.0-6-0.0%]]
[[[['Piena_T0_0,Piena_T0_1'], ['QuasiPiena_T1_2,Piena_T1_0'], ['QuasiPiena_T3_3']]], [1.0-6-0.0%]]
[[[['Piena_T0_0,Piena_T0_1'], ['QuasiPiena_T1_2,Piena_T1_0'], ['QuasiPiena_T2_1']]], [1.0-6-0.0%]]
[[[['Piena_T0_0,Piena_T0_1'], ['QuasiPiena_T2_3,QuasiPiena_T2_2'], ['QuasiPiena_T3_3']]], [1.0-6-0.0%]]
[[[['Piena_T0_0,Piena_T0_1'], ['QuasiPiena_T1_1,QuasiPiena_T1_0'], ['QuasiPiena_T3_3']]], [1.0-6-0.0%]]
[[[['Piena_T0_0,Piena_T0_1'], ['QuasiPiena_T1_1,QuasiPiena_T1_0'], ['QuasiPiena_T2_1']]], [1.0-6-0.0%]]
[[[['Piena_T0_0,Piena_T0_1'], ['QuasiPiena_T1_1,Piena_T1_0'], ['QuasiPiena_T3_3']]], [1.0-6-0.0%]]
[[[['Piena_T0_0,Piena_T0_1'], ['QuasiPiena_T1_1,Piena_T1_0'], ['QuasiPiena_T2_1']]], [1.0-6-0.0%]]
[[[['Piena_T0_0,Piena_T0_1'], ['Piena_T1_2,QuasiPiena_T1_0'], ['QuasiPiena_T3_3']]], [1.0-6-0.0%]]
[[[['Piena_T0_0,Piena_T0_1'], ['Piena_T1_2,QuasiPiena_T1_0'], ['QuasiPiena_T2_1']]], [1.0-6-0.0%]]
[[[['Piena_T0_0,Piena_T0_1'], ['Piena_T1_2,Piena_T1_0'], ['QuasiPiena_T3_3']]], [1.0-6-0.0%]]
[[[['Piena_T0_0,Piena_T0_1'], ['Piena_T1_2,Piena_T1_0'], ['QuasiPiena_T2_1']]], [1.0-6-0.0%]]
[[[['Piena_T0_0,Piena_T0_1'], ['Piena_T1_0,Piena_T1_1'], ['QuasiPiena_T3_3']]], [1.0-6-0.0%]]
[[[['Piena_T0_0,Piena_T0_1'], ['Piena_T1_0,Piena_T1_1'], ['QuasiPiena_T2_1']]], [1.0-6-0.0%]]
[[[['Piena_T0_0,Piena_T0_1'], ['Piena_T1_1,QuasiPiena_T1_0'], ['QuasiPiena_T3_3']]], [1.0-6-0.0%]]
[[[['Piena_T0_0,Piena_T0_1'], ['Piena_T1_1,QuasiPiena_T1_0'], ['QuasiPiena_T2_1']]], [1.0-6-0.0%]]
[[[['Piena_T0_0,Piena_T0_2'], ['QuasiPiena_T1_3,QuasiPiena_T1_0'], ['QuasiPiena_T3_3']]], [1.0-6-0.0%]]
[[[['Piena_T0_0,Piena_T0_2'], ['QuasiPiena_T1_3,QuasiPiena_T1_0'], ['QuasiPiena_T2_1']]], [1.0-6-0.0%]]
[[[['Piena_T0_0,Piena_T0_2'], ['QuasiPiena_T1_3,Piena_T1_0'], ['QuasiPiena_T3_3']]], [1.0-6-0.0%]]
[[[['Piena_T0_0,Piena_T0_2'], ['QuasiPiena_T1_3,Piena_T1_0'], ['QuasiPiena_T2_1']]], [1.0-6-0.0%]]
[[[['Piena_T0_0,Piena_T0_2'], ['QuasiPiena_T1_2,QuasiPiena_T1_0'], ['QuasiPiena_T3_3']]], [1.0-6-0.0%]]
[[[['Piena_T0_0,Piena_T0_2'], ['QuasiPiena_T1_2,QuasiPiena_T1_0'], ['QuasiPiena_T2_1']]], [1.0-6-0.0%]]
[[[['Piena_T0_0,Piena_T0_2'], ['QuasiPiena_T1_2,Piena_T1_0'], ['QuasiPiena_T3_3']]], [1.0-6-0.0%]]
[[[['Piena_T0_0,Piena_T0_2'], ['QuasiPiena_T1_2,Piena_T1_0'], ['QuasiPiena_T2_1']]], [1.0-6-0.0%]]
[[[['Piena_T0_0,Piena_T0_2'], ['QuasiPiena_T2_3,Piena_T2_2'], ['QuasiPiena_T3_3']]], [1.0-6-0.0%]]
[[[['Piena_T0_0,Piena_T0_2'], ['QuasiPiena_T2_3,QuasiPiena_T2_1'], ['QuasiPiena_T3_3']]], [1.0-6-0.0%]]
[[[['Piena_T0_0,Piena_T0_2'], ['QuasiPiena_T1_1,QuasiPiena_T1_0'], ['QuasiPiena_T3_3']]], [1.0-6-0.0%]]
